"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Copper Falls Mine",6,7.77777777777778,1.77777777777778,"Copper","NA","2","2","9",1,NA,NA,NA,NA,NA,NA,NA,NA,11483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Copper Peak Adit",3,3.27777777777778,0.277777777777778,"Copper","335","5","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County Line Adit",-0.499999999999999,-0.499999999999999,0,"Copper","205","5","5","1",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cushman Adit",8.5,10,1.5,"Copper",NA,"2","1.5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,NA,708,NA,20,NA,NA,28,NA,NA,NA,NA,NA
"Cyclops A",-3,-2,0.999999999999999,"Iron",NA,"50","18","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclops B",-5,-5,0,"Iron",NA,"3","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclops C",-4.5,-4.5,0,"Iron",NA,"50","15","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Mine",0.555555555555556,8.5,7.94444444444444,"Copper","0","5","1","1",1,NA,NA,NA,NA,NA,1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2352,2664,2587,3583,841,862,700,1297,1465,1491,2322,1382,NA,NA
"Derby Adit",5,8.88888888888889,3.88888888888889,"Copper","80","4","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,146,NA,235,228,130,NA,NA,32,NA,44,23,NA,216
"Derby Shaft",Inf,-Inf,-Inf,"Copper","330","8","10","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detroit Gold + Silver Co. Adit",5.38888888888889,5.38888888888889,0,"Gold","330",NA,"6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detroit Salt Mine",16.6666666666667,16.6666666666667,0,"Halite",NA,NA,NA,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Devil's Kitchen",Inf,-Inf,-Inf,"Limestone",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devon Mine",Inf,-Inf,-Inf,"Copper",NA,"NA","NA","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disgusting Cave",Inf,-Inf,-Inf,"Limestone",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Douglas Houghton Adit #1",1.66666666666667,5.55555555555556,3.88888888888889,"Copper",NA,"4","4",NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA
