"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Merchant's Adit North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-02,NA,"21","C","16",0,NA,NA,5,"0",2010,3,2
"Merchant's Adit North",NA,NA,NA,NA,NA,NA,NA,NA,"41.9","86",2017-12-29,NA,"2",NA,"0",NA,0,0,2,"0",2017,12,29
"Merchant's Adit South","Copper","60","270","5","7","1",0,NA,"42.8","77",1998-12-15,"High","1","C","1",1,0,1,0,"0",1998,12,15
"Merchant's Adit South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-02,NA,"21","C","16",0,NA,NA,5,"0",2010,3,2
"Merchant's Adit South",NA,NA,NA,NA,NA,NA,NA,NA,"31.1","64",2017-12-29,NA,"1",NA,"0",NA,0,0,1,"0",2017,12,29
"Merriweather Shaft 1","Copper","30",NA,NA,NA,"0",1,NA,NA,NA,NA,"Low","0","E",NA,NA,NA,NA,0,"0",NA,NA,NA
"Merriweather Shaft 2","Copper","30",NA,"6","10","0",1,NA,NA,NA,2010-08-29,"Low","0","E",NA,0,NA,NA,0,"0",2010,8,29
"Merriweather Shaft 3","Copper","90","350","6","10","1",1,NA,"33","95",NA,"Medium","0","C","0",NA,NA,NA,0,"0",NA,NA,NA
"Michigan (A Shaft)","Copper",">400","NA","2.5","2.5",">1",1,NA,"41",NA,2001-12-28,"Low","1610","C/E","1610",0,NA,NA,0,"0",2001,12,28
"Millie Mine","Iron","600","NA",NA,NA,"3",1,NA,NA,NA,1992-12-11,"Low","ca. 50,000","E","ca. 50,000",NA,NA,NA,0,"0",1992,12,11
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ca. 37,000","E","ca. 37,000",NA,NA,NA,0,"0",NA,NA,NA
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44","100",2009-03-14,NA,"5390","C","5390",0,NA,NA,0,"0",2009,3,14
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44.6-48.2","84-96",2010-03-28,NA,">24,000","C",">24,000",0,NA,NA,0,"0",2010,3,28
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-18,NA,"5723",NA,NA,NA,NA,NA,0,"0",2018,2,18
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,"44","43-48",NA,2020-02-24,NA,"2765",NA,"2765",0,NA,NA,0,"o",2020,2,24
"Nassau Mine","Copper","1300","270",NA,NA,"1",0,NA,"47.1",NA,2006-11-05,"Low","4635","C","4634",0,NA,NA,1,"0",2006,11,5
"National Mine #7","Copper",">250","360","10","20","1",0,"35.799999999999997","38.3-42.8","72-89",1998-12-17,"Low","984","C","969",25,25,0,15,"0",1998,12,17
"National Mine #7",NA,NA,NA,NA,NA,NA,NA,"27","37-48",NA,2019-11-15,NA,"198",NA,"194",194,194,0,4,"0",2019,11,15
"National Mine #3","Copper","100","330","15","20","1",1,NA,"23.9",NA,2001-12-29,"Low","0","C","0",0,NA,NA,0,"0",2001,12,29
"Nebraska Mine","Copper","1500",NA,"7","12","1",0,"18.7","29-39.3","88",1996-12-16,"Low","700","E",NA,NA,NA,NA,NA,NA,1996,12,16
"New Algoma","Copper","0","NA","NA","NA","0",0,"27.5","NA","NA",1998-01-15,"Low","0","C","0",0,NA,NA,0,"0",1998,1,15
"New Indiana Shaft",NA,"125","NA","17","17","0",1,NA,NA,NA,2012-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,29
"North American Adit","Copper","43","325","3","6","1",0,"25","37.9","100",1996-12-28,"Medium","1","C","1",1,0,1,0,"0",1996,12,28
"North American Adit",NA,NA,NA,NA,NA,NA,NA,NA,"35.6-36.5","100",2001-01-19,NA,"5","C","5",0,NA,NA,0,"0",2001,1,19
"North American Adit",NA,NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,2015-12-29,NA,"2","c","2",2,0,2,0,"0",2015,12,29
"North American Adit",NA,NA,NA,NA,NA,NA,NA,"27","32.9",NA,2016-12-27,NA,"0","c","0",0,0,0,0,"0",2016,12,27
"North Belt Mine","Copper","625","37","3","5","2",2,"27","34.5-44.9","90-100",1998-01-03,"Low","601","C","588",0,NA,NA,12,"1",1998,1,3
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-28,NA,"1134","C","1118",NA,NA,NA,15,"1",2002,2,28
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"32.7-40.5","86-88",2009-03-07,NA,"1071","C","1054",0,NA,NA,14,"3",2009,3,7
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,"28.4","36.5-39.2","82",2011-03-25,NA,"1129","C","1120",0,NA,NA,9,"0",2011,3,25
"North Cliff Mine (Shaft #3?)","Copper","752","NA","3.5","2.5","2",1,"27.5","45-48","92-100",1996-12-27,"Medium","2958","C","2958",50,50,0,0,"0",1996,12,27
"North Cliff Mine (Shaft #3?)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-24,NA,"29","c","29",29,29,0,0,"0",2016,2,24
"North Cliff Mine (Shaft #3?)",NA,NA,NA,NA,NA,NA,NA,NA,"4.7",NA,2024-02-16,NA,"26","c","26",26,26,0,0,"0",2024,2,16
"North Lake Mine","Copper",">70","NA","10","20","1",1,"29",NA,NA,NA,"Low","0","C","0",0,NA,NA,0,"0",NA,NA,NA
"Norway Mine","Iron","274",NA,"6","20","2",0,"22","21-41","97-100",1996-01-03,"Medium","23920","E","23855",77,76,1,65,"0",1996,1,3
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,"22.5","20-40.9","97-100",1998-01-01,"Low","18979","E","18781",0,NA,NA,198,"0",1998,1,1
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"39.5-42.4",NA,2004-12-29,NA,"16796","C","16676",0,NA,NA,120,"0",2004,12,29
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-08,NA,NA,NA,NA,1815,1815,0,NA,"0",2014,3,8
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"31.1-45.5",NA,2017-02-10,NA,"8647","c","8459",142,142,0,188,"0",2017,2,10
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,"30","34.7-44.6","75-96.3",2019-12-28,NA,"5155",NA,"4909",691,691,0,245,"1",2019,12,28
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"2.2-4.4",NA,2023-12-14,NA,"10284","c","9535",351,351,0,748,"1",2023,12,14
"The Norwich (Norwich B)","Copper",NA,NA,NA,NA,"?",1,NA,NA,NA,2009-07-28,"Low","0",NA,NA,NA,NA,NA,NA,NA,2009,7,28
"The Norwich (Norwich B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-29,NA,"2","c","0",NA,NA,NA,2,"0",2013,11,29
"Norwich D (MacDonald Shaft)","Copper","80","999","8","10","0",1,NA,NA,NA,2002-02-27,"Low","0","C","0",0,NA,NA,0,"0",2002,2,27
"Norwich D (MacDonald Shaft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogimaw Adit","Copper","90","345","5","7","1",0,NA,"30-40.9",NA,2005-12-16,"Low","28","C","28",0,NA,NA,0,"0",2005,12,16
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,"32","41.9","100",2011-12-21,NA,"24","C","23",21,14,7,1,"0",2011,12,21
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,"17","39.200000000000003",NA,2013-03-04,NA,"21","c","21",18,2,16,0,"0",2013,3,4
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-16,NA,"4","C","4",4,4,0,0,"0",2017,2,16
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,NA,"41","96.3",2019-12-21,NA,"2",NA,"2",2,2,0,0,"0",2019,12,21
"Ogimaw Mine","Copper","338",NA,NA,NA,"1",0,"37.6","41.4-44.9","88-100",1998-12-14,"Low","410","C","407",25,25,0,3,"0",1998,12,14
"Ohio Traprock Mine #1","Copper","106","355","4","6","1",0,"27.4","43.7","89",1998-12-17,"Low","150","C","149",35,28,7,1,"0",1998,12,17
"Ohio Traprock Mine #1",NA,NA,NA,NA,NA,NA,NA,"25","39.200000000000003","92.4",2018-02-21,NA,"81",NA,"74",74,74,0,7,"0",2018,2,21
"Ohio Traprock Mine #2","Copper","111","340","2","2","1",0,"27.4","48.6","93",1998-12-17,"Low","654","C","654",26,26,0,0,"0",1998,12,17
"Ohio Traprock Mine #2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-20,NA,"274","c","274",270,255,15,0,"0",2014,12,20
"Ohio Traprock Mine #2",NA,NA,NA,NA,NA,NA,NA,"25","46.4","100",2018-02-21,NA,"49",NA,"49",49,49,0,0,"0",2018,2,21
"Ohio Traprock Mine #3","Copper","95","34","8","12","1",1,"27.4","41","82",1998-12-17,"Low","19","C","13",10,8,2,6,"0",1998,12,17
"Ohio Traprock Mine #3",NA,NA,NA,NA,NA,NA,NA,"25","32","82",2018-02-21,NA,"11",NA,"8",8,8,0,3,"0",2018,2,21
"Ohio Traprock Mine #59 (Norwich Adit)","Copper","45","302","8","4","1",0,"-12",NA,NA,1996-03-07,"Low","0",NA,NA,NA,NA,NA,NA,NA,1996,3,7
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-03-08,NA,"0",NA,NA,NA,NA,NA,NA,NA,2009,3,8
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"27","34","80",2010-11-27,NA,"0","C","0",0,NA,NA,0,"0",2010,11,27
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"30.6","35.6","100",2013-01-04,NA,"6","C","6",6,0,6,0,"0",2013,1,4
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"35-37","42.8",NA,2015-11-25,NA,"2","c","1",1,0,1,1,"0",2015,11,25
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"40.5-41","45.5",NA,2016-11-18,NA,"2","c","0",0,0,0,2,"0",2016,11,18
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","42.8",NA,2017-11-18,NA,"2","c","0",0,0,0,2,"0",2017,11,18
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,2019-11-16,NA,"0",NA,"0",0,0,0,0,"0",2019,11,16
"Ohio Traprock Mine #60 (Norwich Adit)","Copper","236","302","6","4.5","1",0,NA,"44.4-47.4","93",1996-03-07,"Low","294","C","291",31,22,9,3,"0",1996,3,7
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"29.5","46.7-47.8",NA,2009-03-08,NA,"253","C","247",0,NA,NA,6,"0",2009,3,8
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"27","45-46.4","85-91",2010-11-27,NA,"308","C","305",0,NA,NA,3,"0",2010,11,27
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"30.6","46-46.4","96.7",2013-01-04,NA,"274","C","270",0,242,28,4,"0",2013,1,4
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,"41-45.6",NA,2014-12-18,NA,"305","c","299",299,263,36,6,"0",2014,12,18
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"35-37","46.4",NA,2015-11-25,NA,"191","c","188",187,168,19,3,"0",2015,11,25
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"40.5-41",NA,NA,2016-11-18,NA,"74","c","74",74,66,8,0,"0",2016,11,18
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","47.3",NA,2017-11-18,NA,"51","c","50",50,48,2,1,"0",2017,11,18
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-16,NA,"39",NA,"37",37,37,0,2,"0",2019,11,16
"Ohio Traprock #61","Copper","17",NA,"6","5","1",0,"35-37",NA,NA,2015-11-25,NA,"0","c","0",NA,NA,NA,0,"0",2015,11,25
"Ohio Traprock #61",NA,NA,NA,NA,NA,NA,NA,"40.5-41","44.6",NA,2016-11-18,NA,"0","c","0",NA,NA,NA,0,"0",2016,11,18
"Ohio Traprock #61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-16,NA,"0",NA,"0",NA,NA,NA,NA,NA,2019,11,16
"Ohio Traprock #61",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","37.4",NA,2017-11-18,NA,"0","c","0",NA,NA,NA,0,"0",2017,11,18
"Old Caledonia Mine (south)","Copper","NA",NA,NA,NA,NA,NA,"27",NA,NA,1996-12-18,"Low","0",NA,NA,NA,NA,NA,NA,NA,1996,12,18
"Old Flintsteel River Adit A","Copper","18","30","6","10","1",0,NA,NA,NA,2006-02-25,"Low","0",NA,NA,NA,NA,NA,NA,NA,2006,2,25
"Old Flintsteel River Adit A",NA,NA,NA,NA,NA,NA,NA,"31.1","32.9","100",2011-12-21,NA,"0","C","0",0,NA,0,0,NA,2011,12,21
"Old Flintsteel River Adit B","Copper","225","360","6","4","1",0,NA,"37.2-41.5",NA,2006-02-25,"Low","222","C","214",0,NA,NA,6,"2",2006,2,25
"Old Flintsteel River Adit B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-03,"Low","256","C","250",0,NA,NA,5,"1",2010,3,3
"Old Flintsteel River Adit B",NA,NA,NA,NA,NA,NA,NA,"31.1","45.5","100",2011-12-21,NA,"268","C","264",23,19,4,2,"2",2011,12,21
"Old Flintsteel River Adit B",NA,NA,NA,NA,NA,NA,NA,"11","46.4","100",2018-02-21,NA,"3",NA,"3",NA,3,0,0,"0",2018,2,21
"Old Flintsteel River Adit B",NA,NA,NA,NA,NA,NA,NA,NA,"44.6","93.3",2019-12-21,NA,"2",NA,"2",2,2,0,0,"0",2019,12,21
"Old Penn Mine","Copper","108",NA,"6","6","1",1,"14.8","16.399999999999999",NA,1999-12-27,"Low","0","C","0",0,NA,NA,0,"0",1999,12,27
"Owl Creek Fissure (Old Copper Falls)","Copper","> 10,000",NA,"2","2","5",1,NA,"44-46","100",2000-02-18,"Low","6606","C","6606",0,NA,NA,0,"0",2000,2,18
"Pabst Mine H Shaft","Iron","100",NA,NA,NA,"?",0,NA,NA,NA,2005-03-01,"Low","0",NA,NA,NA,NA,NA,NA,NA,2005,3,1
"Palms Mine Air Shaft","Iron","0",NA,NA,NA,"0",0,NA,NA,NA,2005-03-01,"Low","0",NA,NA,NA,NA,NA,NA,NA,2005,3,1
"Penninsular Adit","Copper","0",NA,NA,NA,"0",0,NA,NA,NA,1998-12-16,"Closed","0",NA,NA,NA,NA,NA,NA,NA,1998,12,16
"Petherick","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-17,"Low",NA,NA,NA,NA,NA,NA,NA,NA,2020,1,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-16,NA,"15","c","15",15,15,0,0,"0",2024,2,16
"Pewabic Mine (Hancock)","Copper",">1,000",NA,NA,NA,NA,NA,NA,NA,NA,2000-04-13,"Low","0",NA,"0",NA,NA,NA,0,"0",2000,4,13
"Pewabic Mine (Iron Mountain)","Iron","340",NA,"3","4","?",1,"16.7","21.2-31.9","61-68",1996-01-04,"Medium","40","C","32",24,22,2,8,"0",1996,1,4
"Piscatauqau Adit","Copper","129",NA,"2","2","1",0,"38.9","46.4","88",1998-12-15,"Low","90","C","89",14,14,0,1,"0",1998,12,15
"Pittsburgh and Boston Shaft A","Copper","0",NA,NA,NA,NA,0,NA,NA,NA,2015-12-29,NA,"0",NA,NA,NA,NA,NA,NA,NA,2015,12,29
"Pittsburgh and Boston Shaft B","Copper","0",NA,NA,NA,NA,0,NA,NA,NA,2015-12-29,NA,"0",NA,NA,NA,NA,NA,NA,NA,2015,12,29
"Pittsburgh and Boston Shaft C","Copper","0",NA,NA,NA,NA,0,NA,NA,NA,2015-12-29,NA,"0",NA,NA,NA,NA,NA,NA,NA,2015,12,29
"Ponchartrain Shores Pit Cave","Limestone","0",NA,NA,NA,NA,1,NA,NA,NA,2020-04-12,NA,"0",NA,NA,NA,NA,NA,NA,NA,2020,4,12
"Port Austin Cave East","Sandstone","6",NA,"3","12","1",0,NA,NA,NA,2011-07-16,"High","0","E",NA,NA,NA,NA,NA,NA,2011,7,16
"Port Austin Cave West","Sandstone","20",NA,"3.5","40","1",0,NA,NA,NA,2011-07-16,"High","0","E",NA,NA,NA,NA,NA,NA,2011,7,16
"Quarry Cave","Limestone","215",NA,NA,NA,"1",0,NA,NA,NA,2010-03-20,"High","0","C",NA,NA,NA,NA,NA,NA,2010,3,20
"Quincy Mine Adit","Copper","2000","340",NA,NA,"7",1,"26.5","40-45","90-100",NA,"Low","0","E","0",0,NA,NA,0,"0",NA,NA,NA
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.9",NA,1998-11-15,NA,"1","C","1",0,NA,NA,0,"0",1998,11,15
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-48.2","91-95",2011-03-01,NA,"3691","C","3691",0,NA,NA,0,"0",2011,3,1
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"48.2",NA,2017-02-17,NA,"30","c","30",22,22,0,0,"0",2017,2,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.0-10.2",NA,2024-03-22,NA,"9","c","9",0,NA,NA,NA,NA,2024,3,22
"Quincy Shaft","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnesec Adit","Iron","477","30","2","3.5","1",0,"35.6","46.9-47.8","95-100",2010-11-05,NA,"2576","C","2572",0,NA,NA,0,"4",2010,11,5
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.3","100",2013-03-05,NA,"2564","C","2554",2537,2538,16,1,"9",2013,3,5
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.8",NA,2017-02-10,NA,"30","c","28",28,28,0,1,"1",2017,2,10
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"44","49.1","93.8",2018-12-14,NA,"40",NA,"36",36,36,0,4,"0",2018,12,14
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"35","48","93.7",2019-12-27,NA,"29",NA,"29",29,29,0,0,"0",2019,12,27
"Randville Quarry Mine","Dolomite","331",NA,"15","20","1",0,"29","28.1-29.7","65-71",1996-01-08,"High","35","C","0",NA,NA,NA,35,"0",1996,1,8
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,NA,"27.5",NA,2014-03-07,NA,"42","C","2",0,NA,NA,40,"0",2014,3,7
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,"30","34.700000000000003",NA,2018-02-17,NA,"32",NA,"12",0,NA,NA,20,"0",2018,2,17
"Ridge Adit","Copper","49","60","6","6","1",0,"16.7","32.5","90",1998-03-10,"High","12","C","10",8,0,8,2,"0",1998,3,10
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"30","37.4","100",2011-12-22,NA,"6","C","5",5,0,5,1,"0",2011,12,22
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"17","37.4",NA,2013-03-04,NA,"1","c","0",NA,NA,NA,1,"0",2013,3,4
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"47","43.7","86.4",2018-12-15,NA,"0",NA,"0",0,0,0,0,"0",2018,12,15
"Rockland Mine, Shaft 3","Copper","800","NA","8","12","3",1,NA,"44.6",NA,2014-12-21,"Low","3263","c","3263",0,NA,NA,0,"0",2014,12,21
"Rockport Quarry North Tunnel","Concrete","500","145","2","4",NA,NA,NA,"38.299999999999997","90",2010-03-14,"Medium","64","C","57",0,NA,NA,5,"2",2010,3,14
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","66",2011-02-12,NA,"99","C","97",0,NA,NA,2,"0",2011,2,12
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-39.2","100",2012-02-18,NA,"101","C","98",71,68,3,3,"0",2012,2,18
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,23
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-23,"Low","383","c","379",0,NA,NA,3,"1",2013,11,23
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,NA,"33","C","31",0,NA,NA,1,"1",2014,3,22
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-11-24,NA,"1","c","1",1,1,0,0,"0",2016,11,24
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","41-42.4","86-93",2018-11-24,NA,"9",NA,"2",2,2,0,7,"0",2018,11,24
"Rockport Quarry South Tunnel","Concrete","225","145","4","4",NA,NA,NA,NA,NA,2010-03-14,"Medium","1","C","0",0,NA,NA,0,"1",2010,3,14
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","81",2011-02-12,NA,"0","C","0",0,NA,NA,0,"0",2011,2,12
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-37.4","100",2012-02-18,NA,"3","C","0",0,NA,NA,0,"3",2012,2,18
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","100",2013-02-23,NA,"1","c","1",1,1,0,0,"0",2013,2,23
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-23,NA,"2","c","1",1,0,1,0,"1",2013,11,23
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,"Low","1","C","0",NA,NA,NA,0,"1",2014,3,22
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","51","94",2018-11-24,NA,"0",NA,"0",0,0,0,0,"0",2018,11,24
"Scott Falls Cave","Sandstone","20","70","15","25",NA,NA,"23","28.4",NA,2012-03-09,"High","0","C","0",0,NA,NA,0,"0",2012,3,9
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-30,NA,"0",NA,"0",0,0,0,0,"0",2018,11,30
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,NA,"0",NA,"0",0,0,0,0,"0",2019,11,17
"Scott's Cave","Limestone","7",NA,"8.5","17.5",NA,NA,NA,NA,NA,2010-05-16,"Medium","0","C","0",NA,NA,NA,0,"0",2010,5,16
"Seneca Mine #3","Copper","2039","NA","8","20","2",1,NA,"46.4-49.8",NA,2014-04-07,"Low","3201","C","3201",0,NA,NA,0,"0",2014,4,7
"Silas Doty Cave","Tufa","18",NA,"2.5","3",NA,NA,"42","39-41",NA,2006-03-26,"High","0","C","0",NA,NA,NA,0,"0",2006,3,26
"Silas Doty Cave",NA,NA,NA,NA,NA,NA,NA,"27","34",NA,2011-03-06,NA,"0","C","0",NA,NA,NA,0,"0",2011,3,6
"Silver Mountain Mine","Copper","147",NA,"5","5","1",0,"35.4","42.2-45.5","90",1996-11-30,"Medium","1036","C","1036",44,41,3,0,"0",1996,11,30
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-21,NA,"1131","C","1131",0,NA,NA,0,"0",2001,11,21
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"50","47.1","95",2009-11-13,NA,"1401","C","1401",0,NA,NA,0,"0",2009,11,13
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"19.399999999999999","44.6","91",2010-11-26,NA,"1536","C","1524",0,NA,NA,11,"1",2010,11,26
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"24.1","44.6","100",2013-01-03,NA,"1302","C","1280",0,NA,NA,22,"0",2013,1,3
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2014-12-19,NA,"1580","c","1572",1572,1500,72,8,"0",2014,12,19
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2015-11-26,NA,"1342","c","1340",1339,1317,21,2,"0",2015,11,26
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"23","47.3",NA,2016-11-19,NA,"247","c","247",247,243,3,0,"0",2016,11,19
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-29,NA,"271",NA,"269",NA,264,5,2,"0",2017,11,29
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"36","46",NA,2019-11-16,NA,"113",NA,"111",111,110,1,2,"0",2019,11,16
"Skull Cave","Limestone","20",NA,"3.5","13.5","1",0,NA,NA,NA,2010-05-15,"High","0","C","0",NA,NA,NA,0,"0",2010,5,15
"South Belt Mine","Copper","625",NA,"6","12","1",2,"16","22-37.5","71-100",1996-01-15,"Low","1302","C","1290",40,39,1,12,"0",1996,1,15
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-02-27,"Low","2076","C","2028",0,NA,NA,48,"0",2001,2,27
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,"36.4","33.5-37","92",2009-03-07,NA,"1513","C","1461",0,NA,NA,51,"1",2009,3,7
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"37.4-38.3","89",2011-03-25,NA,"1299","C","1285",0,NA,NA,14,"0",2011,3,25
"South Bluff Adit","Copper","145","55","5","6","1",0,"37.5","45.8-47.3","91",1998-12-16,"Low","235","C","234",23,21,2,NA,"1",1998,12,16
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-05,"Low","117","C","113",0,NA,NA,3,"1",2010,3,5
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"47.8","46.2-47.3","100",2011-11-13,NA,"141","C","140",NA,NA,NA,0,"1",2011,11,13
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-24,NA,"109","C","105",92,82,10,3,"1",2012,2,24
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-13,NA,"100","c","98",97,97,0,1,"1",2015,11,13
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2017-02-14,NA,"19","c","9",9,8,1,10,"0",2017,2,14
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"26","46.4","87.1",2018-12-17,NA,"15",NA,"13",13,13,0,2,"0",2018,12,17
"South Bluff East Adit","Copper","316","57.5","2","5","1",0,NA,"45.5-48",NA,2006-11-03,"Low","2391","C","2381",0,NA,NA,2,"8",2006,11,3
