"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-04,NA,"24",NA,"6",6,6,0,6,"0",2021,3,4
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-10,NA,"10",NA,"8",8,8,0,2,"0",2021,11,10
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-06,NA,"21",NA,"4",4,4,0,17,"0",2022,3,6
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-11,NA,"6",NA,"4",4,4,0,2,"0",2022,11,11
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03,NA,"33",NA,"3",3,3,0,30,"0",2023,3,3
"Beaver Boardman Adit","?","60",NA,NA,"15","1",0,NA,"40.6",NA,2019-11-25,NA,"0",NA,NA,NA,NA,NA,NA,NA,2019,11,25
"Belt Mine","Copper",NA,NA,NA,NA,NA,NA,NA,"32.9-42.8",NA,2017-02-16,"Medium","1118","c","1083",1041,1039,2,34,"0",2017,2,16
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,"45","40.1-43.3","85.1-89.4",2018-12-16,NA,"1118",NA,"1093",899,897,2,25,"0",2018,12,16
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,"28","39.2-40.1","88.7-92.6",2020-01-18,NA,"597",NA,"568",556,556,0,27,"2",2020,1,18
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-16,"medium",NA,NA,"775",56,56,0,29,"0",2022,3,16
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,2024-03-13,NA,"1017","c","972",127,127,0,43,"2",2024,3,13
"Bumblebee Mine","Copper","2500","10","0.5","5","1",0,NA,"47-49",NA,2007-12-29,"Low","5192","C","5189",0,NA,NA,0,"3",2007,12,29
"Bumblebee Mine",NA,NA,NA,NA,NA,NA,NA,NA,"49.2",NA,2016-02-23,NA,"813","c","812",812,812,0,1,"0",2016,2,23
"Caledonia Mine Complex","Copper","2500","90","0","0",NA,NA,"27","41-45",">90",NA,"Medium","54407","C/E","54404",136,132,4,3,"0",NA,NA,NA
"Caledonia Adit","Copper","50","40","10","15","1",0,"37.5","39.200000000000003","61",2010-03-03,"Low","0","C","0",0,NA,NA,0,"0",2010,3,3
"Cave in the Woods","Limestone","25",NA,"5","25","1",0,NA,NA,NA,2010-03-16,"Low","0","C","0",0,NA,NA,0,"0",2010,3,16
"Chatam Mine","Iron","?","NA",NA,NA,"?",1,NA,NA,NA,2005-04-01,"High","0",NA,NA,NA,NA,NA,NA,NA,2005,4,1
"Child's Adit","Copper","92","115","2.5","2.5","1",0,"27.5","42.9","100",1996-12-28,"40","31","C","31",0,NA,NA,0,"0",1996,12,28
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","45.5","100",2011-12-24,NA,"132","C","132",29,26,3,0,"0",2011,12,24
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"3","44.6","93-97",2017-12-27,NA,"8","c","8",8,8,0,0,"0",2017,12,27
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"23","43.7","93.1",2020-01-01,NA,"17",NA,"17",17,17,0,0,"0",2020,1,1
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-16,NA,"22","c","22",22,22,0,0,"0",2024,2,16
"Colby Mine","Iron","0","NA",NA,NA,"0",0,NA,NA,NA,2006-02-26,"Low","0","C",NA,NA,NA,NA,0,"0",2006,2,26
"Collin's Adit","Copper","35","80","5","6","1",0,"35.799999999999997","37.4","83",1998-12-17,"Low","1","C","1",0,NA,NA,0,"0",1998,12,17
"Collin's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-20,NA,"0","c","0",NA,NA,NA,0,"0",2014,12,20
"Collin's Adit",NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,2018-02-21,NA,"0",NA,"0",NA,NA,NA,0,"0",2018,2,21
"Copper Falls Mine","Copper",">11,000","NA","2","2","9",1,"38.9","42.8-46","95-100",1999-03-14,"Low","11483","C","11483",53,41,12,0,"0",1999,3,14
"Copper Falls Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44.6-45.5","93-100",2018-02-23,NA,"27",NA,"0",27,27,0,0,"0",2018,2,23
"Copper Peak Adit","Copper","39","335","5","6","1",0,NA,"37.9",NA,2006-11-03,"High","0","C","0",0,NA,NA,0,"0",2006,11,3
"Copper Peak Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","37.4","94",2011-12-20,NA,"1","C","1",1,0,1,0,"0",2011,12,20
"County Line Adit","Copper","8","205","5","5","1",0,NA,"<32",NA,1996-12-17,"High","0","C","0",NA,NA,NA,0,"0",1996,12,17
"County Line Adit",NA,NA,NA,NA,NA,NA,NA,"25.7","31.1",NA,2011-12-22,NA,"0","C","0",0,NA,NA,0,"0",2011,12,22
"Cushman Adit","Copper",NA,NA,"2","1.5","1",0,NA,"49-50","95-100",2012-11-03,"Low","825","C","820",57,56,1,0,"5",2012,11,3
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-26,NA,"713","c","708",708,676,32,0,"5",2015,2,26
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,"23","48.2",NA,2017-02-15,NA,"20","c","20",20,20,0,0,"0",2017,2,15
"Cushman Adit",NA,NA,NA,NA,NA,NA,NA,"17","47.3","93.7",2019-12-19,NA,"28",NA,"28",28,28,0,0,"0",2019,12,19
"Cyclops A","Iron","65",NA,"50","18","1",0,"20","26.6-28.4",NA,2014-02-21,"High","0","c","0",NA,NA,NA,0,"0",2014,2,21
"Cyclops B","Iron","35",NA,"3","5","1",0,"20","23",NA,2014-02-21,"High","0","c","0",NA,NA,NA,0,"0",2014,2,21
"Cyclops C","Iron","35",NA,"50","15","1",0,"20","23.9",NA,2014-02-21,"High","0","c","0",NA,NA,NA,0,"0",2014,2,21
"Delaware Mine","Copper","2600","0","5","1","1",1,NA,"43.5-46.9","92-100",1996-02-08,"Low","1702","C","1702",NA,NA,NA,0,"0",1996,2,8
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"40","43.7-47.3",NA,2012-03-06,NA,"2360","C","2352",407,325,82,1,"7",2012,3,6
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-03-13,NA,"2666","c","2664",NA,NA,NA,0,"2",2013,3,13
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-24,NA,"2591","c","2587",718,622,96,1,"3",2014,2,24
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-23,NA,"3587","c","3583",545,524,21,0,"4",2015,2,23
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"20","43-45",NA,2016-02-21,NA,"842","c","841",490,488,2,0,"1",2016,2,21
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,2017-02-18,NA,"862","c","862",849,848,1,0,"0",2017,2,18
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"27","39.2-45.5",NA,2018-02-21,NA,"700",NA,"700",458,457,1,0,"0",2018,2,21
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,"33-42.8","84.9-91.2",2019-02-28,NA,"1297",NA,"1297",1228,1227,1,0,"0",2019,2,28
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,"32","44.8-45.5","90.1-93.4",2020-01-02,NA,"1465",NA,"1465",357,357,0,0,"0",2020,1,2
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-30,NA,"1491",NA,"1491",296,296,0,0,"0",2021,3,30
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-16,NA,"2322",NA,"2322",199,199,0,0,NA,2022,3,16
"Delaware Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-22,NA,"1382",NA,"1382",157,157,0,0,"0",2023,3,22
"Derby Adit","Copper","80","80","4","4","1",0,NA,"47","93",NA,"Low","230","C","216",25,22,3,14,"0",NA,NA,NA
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"24.8","45.5","80",2010-11-26,NA,"243","C","234",0,NA,NA,8,"1",2010,11,26
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"28","41-43","90-96",2013-01-03,NA,"158","C","146",146,130,16,11,"1",2013,1,3
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"41-43.7",NA,2014-12-19,NA,"242","c","235",235,210,14,19,"0",2014,12,19
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-47.3",NA,2015-11-26,NA,"233","c","228",227,208,19,5,"0",2015,11,26
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,"45.5-47.3",NA,2016-11-19,NA,"133","c","130",130,126,4,3,"0",2016,11,19
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-30,NA,"82",NA,NA,NA,NA,NA,9,"0",2017,11,30
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,"27","48",NA,2019-11-15,NA,"38",NA,"32",32,32,0,6,"0",2019,11,15
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-13,NA,"45",NA,"44",44,44,0,1,"0",2022,4,13
"Derby Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-16,NA,"23",NA,"23",23,23,0,0,"0",2023,4,16
"Derby Shaft","Copper","30","330","8","10","0",1,NA,NA,NA,2010-08-27,"Low","0","E","0",NA,NA,NA,0,"0",2010,8,27
"Detroit Gold + Silver Co. Adit","Gold","30","330",NA,"6","1",0,NA,"41.7",NA,2019-11-25,"Low","0",NA,NA,NA,NA,NA,NA,NA,2019,11,25
"Detroit Salt Mine","Halite",">20,000",NA,NA,NA,"1",2,NA,"62","66",2017-04-08,"High","0","c","0",NA,NA,NA,0,"0",2017,4,8
"Devil's Kitchen","Limestone","15",NA,NA,NA,"1",0,NA,NA,NA,2010-05-15,"High","0","C","0",0,NA,NA,0,"0",2010,5,15
