"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"43097",NA,NA,NA,"0","e","0",0,0,0,0,"0"
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43847",NA,NA,NA,"3",NA,"3",3,3,0,0,"0"
"Algonquin Adit #1","Copper","30","245","3","5","1",0,"16.899999999999999","33","88","36510",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Algonquin Adit #2",NA,NA,NA,NA,NA,NA,NA,"17","33.799999999999997","100","40977",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Algonquin Adit #2 (Mark's Adit)","Copper","70","145","3","5","1",0,NA,NA,NA,"36521",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Algonquin Adit #2 (Mark's Adit)",NA,NA,NA,NA,NA,NA,NA,"29.3","44.6","100","40898",NA,NA,NA,"83","C","83",0,NA,NA,0,"0"
"Algonquin Adit #2 (Mark's Adit)",NA,NA,NA,NA,NA,NA,NA,"44","45.5","93.4","43450",NA,NA,NA,"5",NA,"5",5,5,0,0,"0"
"Algonquin Adit #2 (Mark's Adit)",NA,NA,NA,NA,NA,NA,NA,NA,"3.8-3.9",NA,"45323",NA,NA,NA,"9","c","9",9,9,0,0,"0"
"Algonquin Adit #3","Copper","5","235","5","4","1",0,NA,NA,NA,"36521",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Algonquin Adit #4",NA,NA,NA,NA,NA,NA,NA,"29.3","31.1",NA,"40898",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Arch Cave","Limestone","8",NA,NA,NA,NA,0,NA,NA,NA,"40253",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Aztec East Adit","Copper","64","80","5","7","1",NA,NA,"42.8","100","35864",NA,NA,"Medium","1","C","1",1,1,NA,0,"0"
"Aztec East Adit",NA,NA,NA,NA,NA,NA,NA,"27","44.6","100","40899",NA,NA,NA,"1","C","1",0,NA,NA,0,"0"
"Aztec East Adit",NA,NA,NA,NA,NA,NA,NA,NA,"43.7",NA,"43098",NA,NA,NA,"0",NA,NA,NA,0,0,0,"0"
"Aztec East Adit",NA,NA,NA,NA,NA,NA,NA,NA,"3.7",NA,"45412",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Aztec Mine","Copper","239","95","6","8","1",1,"19.100000000000001","33.6-36","88","35864",NA,NA,"Medium","11","C","11",11,2,9,0,"0"
"Aztec Mine",NA,NA,NA,NA,NA,NA,NA,NA,"37.4","67","36911",NA,NA,NA,"7","C","2",0,NA,NA,5,"0"
"Aztec Mine",NA,NA,NA,NA,NA,NA,NA,"25.7","35.6","87.7-91.7","40966",NA,NA,NA,"2","C","2",2,0,2,0,"0"
"Aztec Mine",NA,NA,NA,NA,NA,NA,NA,NA,"32.9",NA,"43098",NA,NA,NA,"1",NA,NA,NA,0,0,1,"0"
"Aztec Mine",NA,NA,NA,NA,NA,NA,NA,NA,"2.6-4.5",NA,"45412",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Aztec New Opening","Copper",NA,"25",NA,NA,NA,NA,NA,NA,NA,"40899",NA,NA,NA,"?",NA,NA,NA,NA,NA,0,"0"
"Aztec New Opening",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1","45412",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Aztec Upper Drift","Copper","50","95","5","7","1",0,NA,"32","88","35864",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,"25.7","35.6","91.4","40966",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,NA,"28.4",NA,"43098",NA,NA,NA,"0",NA,NA,NA,0,0,0,"0"
"Aztec Upper Drift",NA,NA,NA,NA,NA,NA,NA,NA,"3.7",NA,"45412",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
