"site","averageinternaltempc","lowestinternaltempc","highestinternaltempc","temperaturedifferencec","ore","lengthofpassagem","numberofentrancesforhumanaccess","numberoflevels","year","count","entrances","slope"
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2011,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2012,1276,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2013,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2014,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2015,1157,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2016,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2017,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2018,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2019,22,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
