"site","slope","intercept","relative_year","predicted_count","source"
"Agency Place Mine",0.0328467153284672,0,5,0.164233576642336,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,6,0.197080291970803,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,7,0.22992700729927,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,8,0.262773722627737,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,9,0.295620437956204,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,10,0.328467153284672,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,0,0.0252672497570457,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,1,0.054907677356657,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,2,0.0845481049562682,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,3,0.114188532555879,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,4,0.143828960155491,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,5,0.173469387755102,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,6,0.203109815354713,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,7,0.232750242954325,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,8,0.262390670553936,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,9,0.292031098153547,"Trend Line"
"Child's Adit",0.0296404275996113,0.0252672497570457,10,0.321671525753158,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,0,1.2266347333467e-18,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,1,0.003584229390681,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,2,0.00716845878136201,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,3,0.010752688172043,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,4,0.014336917562724,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,5,0.017921146953405,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,6,0.021505376344086,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,7,0.025089605734767,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,8,0.028673835125448,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,9,0.032258064516129,"Trend Line"
"Cushman Adit",0.003584229390681,1.2266347333467e-18,10,0.03584229390681,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,0,0.147934546635016,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,1,0.247012396778055,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,2,0.346090246921095,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,3,0.445168097064135,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,4,0.544245947207174,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,5,0.643323797350214,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,6,0.742401647493254,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,7,0.841479497636294,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,8,0.940557347779333,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,9,1.03963519792237,"Trend Line"
"Delaware Mine",0.0990778501430397,0.147934546635016,10,1.13871304806541,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,0,-9.81307786677359e-18,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,1,0.0685061845861085,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,2,0.137012369172217,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,3,0.205518553758325,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,4,0.274024738344434,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,5,0.342530922930542,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,6,0.411037107516651,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,7,0.479543292102759,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,8,0.548049476688868,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,9,0.616555661274976,"Trend Line"
"Derby Adit",0.0685061845861085,-9.81307786677359e-18,10,0.685061845861085,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,0,0,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,1,0.0271493212669683,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,2,0.0542986425339367,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,3,0.081447963800905,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,4,0.108597285067873,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,5,0.135746606334842,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,6,0.16289592760181,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,7,0.190045248868778,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,8,0.217194570135747,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,9,0.244343891402715,"Trend Line"
"Flintsteel Adit",0.0271493212669683,0,10,0.271493212669683,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,0,0,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,1,0.0555555555555556,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,2,0.111111111111111,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,3,0.166666666666667,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,4,0.222222222222222,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,5,0.277777777777778,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,6,0.333333333333333,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,7,0.388888888888889,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,8,0.444444444444444,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,9,0.5,"Trend Line"
"Ford Exploratory Adit",0.0555555555555556,0,10,0.555555555555556,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,0,0,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,1,0.0559534467323187,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,2,0.111906893464637,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,3,0.167860340196956,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,4,0.223813786929275,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,5,0.279767233661594,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,6,0.335720680393912,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,7,0.391674127126231,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,8,0.44762757385855,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,9,0.503581020590868,"Trend Line"
"Glen Adit #1",0.0559534467323187,0,10,0.559534467323187,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,0,0.453074433656958,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,1,0.472491909385114,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,2,0.491909385113269,"Trend Line"
